Parameter,Method,group,mid,mean_ddg,sd_ddg
bind_avg_all,DeepDDG,group_1,-4.25,-3.497424792139078,1.8018556758621773
bind_avg_all,DeepDDG,group_1,-3.75,-3.2042604529616723,1.4456459163172126
bind_avg_all,DeepDDG,group_1,-3.25,-2.6198978660511822,1.5915119543712377
bind_avg_all,DeepDDG,group_1,-2.75,-2.0101516462053572,1.3126059596761266
bind_avg_all,DeepDDG,group_1,-2.25,-1.7871886273448774,1.1689782546594727
bind_avg_all,DeepDDG,group_1,-1.75,-1.8950567539156944,1.4498234348205825
bind_avg_all,DeepDDG,group_1,-1.25,-2.230713646187642,1.5253350956161722
bind_avg_all,DeepDDG,group_1,-0.75,-2.1295242338111717,1.3132244570703886
bind_avg_all,DeepDDG,group_1,-0.25,-1.2077763378067206,1.0699072744213962
bind_avg_all,DeepDDG,group_1,0.25,-0.8995473143881209,0.7548379118435702
bind_avg_all,DeepDDG,group_2,-4.375,-3.2512579365079364,1.7641141779006226
bind_avg_all,DeepDDG,group_2,-4.125,-3.634184156378601,1.841098116430919
bind_avg_all,DeepDDG,group_2,-3.875,-3.010065191511387,1.4259353655888771
bind_avg_all,DeepDDG,group_2,-3.625,-3.4523988425925927,1.4730438407818343
bind_avg_all,DeepDDG,group_2,-3.375,-2.9625393925518924,1.7882824120850833
bind_avg_all,DeepDDG,group_2,-3.125,-2.2325639665286405,1.263611842693534
bind_avg_all,DeepDDG,group_2,-2.875,-2.0016973824786324,1.446886800664051
bind_avg_all,DeepDDG,group_2,-2.625,-2.0159361424394318,1.2324958456850608
bind_avg_all,DeepDDG,group_2,-2.375,-1.5500895296643247,1.0730715364565127
bind_avg_all,DeepDDG,group_2,-2.125,-1.990893485915493,1.2162501632018612
bind_avg_all,DeepDDG,group_2,-1.875,-2.2023998376623375,1.4291096971132051
bind_avg_all,DeepDDG,group_2,-1.625,-1.7189747788525132,1.439441778644307
bind_avg_all,DeepDDG,group_2,-1.375,-2.124299636243386,1.512394448472501
bind_avg_all,DeepDDG,group_2,-1.125,-2.3105241536458334,1.536031498845345
bind_avg_all,DeepDDG,group_2,-0.875,-2.276591717563837,1.3352093171357937
bind_avg_all,DeepDDG,group_2,-0.625,-2.0323244600665937,1.2912365393031626
bind_avg_all,DeepDDG,group_2,-0.375,-1.4464507455343627,1.2818236423119613
bind_avg_all,DeepDDG,group_2,-0.125,-1.144164494933776,0.9968599817076451
bind_avg_all,DeepDDG,group_2,0.125,-0.9012677920789528,0.7566973198933781
bind_avg_all,DeepDDG,group_2,0.375,-0.6345937500000001,0.36797542265122435
bind_avg_all,mCSM,group_1,-4.25,-1.401938775510204,0.9760826304990118
bind_avg_all,mCSM,group_1,-3.75,-1.0102930894308944,0.8492744560687986
bind_avg_all,mCSM,group_1,-3.25,-1.2158101554907677,1.0478008787947333
bind_avg_all,mCSM,group_1,-2.75,-1.0268911830357144,0.8072728990834429
bind_avg_all,mCSM,group_1,-2.25,-1.0203753607503607,0.9148286409395492
bind_avg_all,mCSM,group_1,-1.75,-0.9255811494796594,0.8930476863299766
bind_avg_all,mCSM,group_1,-1.25,-1.0496258662840137,0.8910741281055587
bind_avg_all,mCSM,group_1,-0.75,-1.046611270390509,0.8462696752119835
bind_avg_all,mCSM,group_1,-0.25,-0.6541940353320227,0.6714496387600879
bind_avg_all,mCSM,group_1,0.25,-0.5488788364055299,0.5202053555343854
bind_avg_all,mCSM,group_2,-4.375,-1.3836646825396826,1.031500739885418
bind_avg_all,mCSM,group_2,-4.125,-1.4120910493827161,0.9639367299617037
bind_avg_all,mCSM,group_2,-3.875,-1.1081079710144928,0.8735965735950639
bind_avg_all,mCSM,group_2,-3.625,-0.8853074074074074,0.8246096690643712
bind_avg_all,mCSM,group_2,-3.375,-1.1973274267399268,1.1372527742044225
bind_avg_all,mCSM,group_2,-3.125,-1.23670367494824,0.9616756590987654
bind_avg_all,mCSM,group_2,-2.875,-0.9480288461538462,0.7131522376012898
bind_avg_all,mCSM,group_2,-2.625,-1.0808496240601504,0.8709958464283262
bind_avg_all,mCSM,group_2,-2.375,-0.9236496877439501,0.9260085886116218
bind_avg_all,mCSM,group_2,-2.125,-1.1034776995305164,0.9033655442270966
bind_avg_all,mCSM,group_2,-1.875,-1.1270619047619048,0.841977989397334
bind_avg_all,mCSM,group_2,-1.625,-0.8101494667658731,0.9051677621988304
bind_avg_all,mCSM,group_2,-1.375,-1.0229344866071428,0.8827903601540336
bind_avg_all,mCSM,group_2,-1.125,-1.0696444010416666,0.9001747232004753
bind_avg_all,mCSM,group_2,-0.875,-1.1022289078674947,0.8582180622980402
bind_avg_all,mCSM,group_2,-0.625,-1.0098524870005474,0.8374906109476883
bind_avg_all,mCSM,group_2,-0.375,-0.811966202802647,0.8178934245613191
bind_avg_all,mCSM,group_2,-0.125,-0.6121443726873466,0.6202824481703735
bind_avg_all,mCSM,group_2,0.125,-0.5470497217068646,0.5213945623715907
bind_avg_all,mCSM,group_2,0.375,-0.8305625,0.035090174016382446
bind_avg_all,Simba_IB,group_1,-4.25,-1.3542942176870747,1.6076626441229092
bind_avg_all,Simba_IB,group_1,-3.75,-0.745458768873403,1.3916062526503887
bind_avg_all,Simba_IB,group_1,-3.25,-1.151550048590865,1.5568761957232307
bind_avg_all,Simba_IB,group_1,-2.75,-0.45407366071428573,1.8533725173719302
bind_avg_all,Simba_IB,group_1,-2.25,-0.4649215367965368,1.5155615604999275
bind_avg_all,Simba_IB,group_1,-1.75,-0.4278429517502365,1.499627064053246
bind_avg_all,Simba_IB,group_1,-1.25,-0.8288493835034013,1.5171501868209687
bind_avg_all,Simba_IB,group_1,-0.75,-0.7117379304663042,1.4447409185246427
bind_avg_all,Simba_IB,group_1,-0.25,-0.31278644876973927,0.9357612799041531
bind_avg_all,Simba_IB,group_1,0.25,-0.2655963901689708,0.7426326620753301
bind_avg_all,Simba_IB,group_2,-4.375,-1.3861904761904762,1.8274636052348758
bind_avg_all,Simba_IB,group_2,-4.125,-1.3365740740740741,1.5088110755901023
bind_avg_all,Simba_IB,group_2,-3.875,-0.6721221532091097,1.5259496831965047
bind_avg_all,Simba_IB,group_2,-3.625,-0.8391666666666667,1.2355866405903022
bind_avg_all,Simba_IB,group_2,-3.375,-1.345709706959707,1.6246478350235405
bind_avg_all,Simba_IB,group_2,-3.125,-0.9320652173913043,1.481250897573892
bind_avg_all,Simba_IB,group_2,-2.875,-0.34294871794871795,1.8731252735997908
bind_avg_all,Simba_IB,group_2,-2.625,-0.5301065162907268,1.861041903024728
bind_avg_all,Simba_IB,group_2,-2.375,-0.17709797033567523,1.5996346538138422
bind_avg_all,Simba_IB,group_2,-2.125,-0.712206572769953,1.403935927155185
bind_avg_all,Simba_IB,group_2,-1.875,-0.5506385281385281,1.5929818867624004
bind_avg_all,Simba_IB,group_2,-1.625,-0.35749131944444446,1.4473125755842526
bind_avg_all,Simba_IB,group_2,-1.375,-0.7422371031746031,1.6541164784013334
bind_avg_all,Simba_IB,group_2,-1.125,-0.89380859375,1.4089118951821502
