Parameter,Method,mid,mean_value,sd_value
bind_avg_all,Simba_IB,0.05,-0.9045128205128206,1.0578933184697286
bind_avg_all,Simba_IB,0.15000000000000002,-0.91,1.0929858441697933
bind_avg_all,Simba_IB,0.25,-0.5915714285714285,0.7750260719607707
bind_avg_all,Simba_IB,0.35,-0.45677002583979326,0.7826033718611523
bind_avg_all,Simba_IB,0.45,-0.5296989966555183,0.8663858296032114
bind_avg_all,Simba_IB,0.55,-0.29880239520958085,0.6320858291162847
bind_avg_all,Simba_IB,0.65,-0.13762626262626262,0.22650494266785043
bind_avg_all,Simba_IB,0.75,-0.16517241379310346,0.2248651103241218
bind_avg_all,Simba_IB,0.8500000000000001,-0.27914285714285714,0.443420426769953
bind_avg_all,Simba_IB,0.9500000000000001,-0.05525,0.06713887253393674
expr_avg_all,Simba_IB,0.05,-1.4731923076923077,0.9970952363433989
expr_avg_all,Simba_IB,0.15000000000000002,-1.0548700173310226,0.9569613505664433
expr_avg_all,Simba_IB,0.25,-1.0672222222222223,0.9413058268176062
expr_avg_all,Simba_IB,0.35,-0.520671834625323,0.733166928032148
expr_avg_all,Simba_IB,0.45,-0.3091973244147157,0.5102164541250422
expr_avg_all,Simba_IB,0.55,-0.2917664670658683,0.4095058832565353
expr_avg_all,Simba_IB,0.65,-0.378989898989899,0.444785911997744
expr_avg_all,Simba_IB,0.75,-0.5069827586206896,0.5171396579137075
expr_avg_all,Simba_IB,0.8500000000000001,-0.4228571428571429,0.6794925905585533
expr_avg_all,Simba_IB,0.9500000000000001,-0.2795,0.3044958001478712
